Frequency NON_00 NON_01 NON_11 IBD_00 IBD_01 IBD_11
0.268 0.55259588 0.36991334 0.07749078 0.73113233 0.00714351 0.26172416
0.270 0.54976748 0.37154974 0.07868277 0.72969577 0.00715856 0.26314566
0.272 0.54693908 0.37318614 0.07987477 0.72825922 0.00717362 0.26456717
0.274 0.54411068 0.37482254 0.08106677 0.72682266 0.00718867 0.26598867
0.276 0.54056428 0.37728435 0.08215137 0.72435474 0.00726495 0.26838031
0.278 0.53629986 0.38057158 0.08312857 0.72085546 0.00740246 0.27174209
0.280 0.53203544 0.38385880 0.08410576 0.71735617 0.00753997 0.27510386
0.282 0.52777102 0.38714602 0.08508296 0.71385689 0.00767748 0.27846563
0.284 0.52350660 0.39043324 0.08606016 0.71035760 0.00781499 0.28182741
0.286 0.52050614 0.39240590 0.08708796 0.70836545 0.00795657 0.28367798
0.288 0.51876963 0.39306401 0.08816637 0.70788044 0.00810222 0.28401735
0.290 0.51703311 0.39372211 0.08924477 0.70739542 0.00824787 0.28435671
0.292 0.51529660 0.39438022 0.09032318 0.70691040 0.00839352 0.28469608
0.294 0.51356009 0.39503832 0.09140159 0.70642539 0.00853917 0.28503545
0.296 0.51081504 0.39663694 0.09254802 0.70581161 0.00859133 0.28559706
0.298 0.50706144 0.39917609 0.09376246 0.70506909 0.00855001 0.28638090
0.300 0.50330785 0.40171524 0.09497691 0.70432656 0.00850869 0.28716475
0.302 0.49955426 0.40425439 0.09619136 0.70358404 0.00846737 0.28794860
0.304 0.49580067 0.40679353 0.09740580 0.70284151 0.00842604 0.28873245
0.306 0.49296984 0.40824286 0.09878730 0.70098475 0.00844688 0.29056837
0.308 0.49106179 0.40860237 0.10033584 0.69801376 0.00852986 0.29345638
0.310 0.48915374 0.40896188 0.10188438 0.69504276 0.00861285 0.29634439
0.312 0.48724568 0.40932139 0.10343292 0.69207177 0.00869583 0.29923240
0.314 0.48533763 0.40968090 0.10498147 0.68910077 0.00877882 0.30212041
0.316 0.48278584 0.41087444 0.10633973 0.68629967 0.00885581 0.30484452
0.318 0.47959030 0.41290200 0.10750770 0.68366847 0.00892680 0.30740473
0.320 0.47639476 0.41492956 0.10867567 0.68103726 0.00899779 0.30996494
0.322 0.47319923 0.41695713 0.10984364 0.67840606 0.00906879 0.31252516
0.324 0.47000369 0.41898469 0.11101162 0.67577485 0.00913978 0.31508537
0.326 0.46710396 0.42048276 0.11241328 0.67333850 0.00929407 0.31736743
0.328 0.46450004 0.42145133 0.11404863 0.67109701 0.00953166 0.31937133
0.330 0.46189612 0.42241991 0.11568397 0.66885552 0.00976926 0.32137522
0.332 0.45929219 0.42338848 0.11731932 0.66661403 0.01000685 0.32337912
0.334 0.45668827 0.42435706 0.11895467 0.66437254 0.01024444 0.32538301
0.336 0.45425532 0.42530735 0.12043733 0.66207117 0.01033730 0.32759153
0.338 0.45199335 0.42623935 0.12176730 0.65970991 0.01028542 0.33000467
0.340 0.44973138 0.42717135 0.12309727 0.65734864 0.01023354 0.33241782
0.342 0.44746941 0.42810335 0.12442724 0.65498738 0.01018166 0.33483096
0.344 0.44520743 0.42903535 0.12575721 0.65262612 0.01012978 0.33724410
0.346 0.44271586 0.43018269 0.12710145 0.65132579 0.01010362 0.33857059
0.348 0.43999469 0.43154537 0.12845994 0.65108639 0.01010319 0.33881042
0.350 0.43727352 0.43290805 0.12981843 0.65084699 0.01010276 0.33905025
0.352 0.43455235 0.43427073 0.13117693 0.65060759 0.01010233 0.33929008
0.354 0.43183117 0.43563340 0.13253542 0.65036820 0.01010189 0.33952991
0.356 0.42899383 0.43703586 0.13397030 0.64884456 0.01036437 0.34079108
0.358 0.42604032 0.43847810 0.13548158 0.64603668 0.01088974 0.34307358
0.360 0.42308681 0.43992034 0.13699285 0.64322880 0.01141512 0.34535609
0.362 0.42013330 0.44136258 0.13850412 0.64042092 0.01194049 0.34763859
0.364 0.41717979 0.44280482 0.14001539 0.63761304 0.01246587 0.34992109
0.366 0.41446381 0.44398444 0.14155175 0.63414283 0.01281106 0.35304611
0.368 0.41198537 0.44490144 0.14311320 0.63001029 0.01297606 0.35701365
0.370 0.40950692 0.44581844 0.14467464 0.62587774 0.01314107 0.36098119
0.372 0.40702848 0.44673544 0.14623609 0.62174520 0.01330608 0.36494873
0.374 0.40455003 0.44765243 0.14779753 0.61761265 0.01347109 0.36891626
0.376 0.40214092 0.44839151 0.14946757 0.61506338 0.01347971 0.37145691
0.378 0.39980115 0.44895266 0.15124618 0.61409738 0.01333195 0.37257068
0.380 0.39746138 0.44951381 0.15302480 0.61313137 0.01318419 0.37368444
0.382 0.39512161 0.45007497 0.15480342 0.61216537 0.01303642 0.37479820
0.384 0.39278184 0.45063612 0.15658204 0.61119937 0.01288866 0.37591197
0.386 0.39043966 0.45135929 0.15820105 0.60913137 0.01285845 0.37801019
0.388 0.38809507 0.45224447 0.15966046 0.60596137 0.01294578 0.38109286
0.390 0.38575048 0.45312965 0.16111987 0.60279137 0.01303311 0.38417553
0.392 0.38340589 0.45401483 0.16257927 0.59962137 0.01312044 0.38725820
0.394 0.38106130 0.45490002 0.16403868 0.59645137 0.01320777 0.39034087
0.396 0.37849821 0.45594874 0.16555305 0.59526413 0.01333620 0.39139967
0.398 0.37571662 0.45716102 0.16712236 0.59605965 0.01350574 0.39043461
0.400 0.37293502 0.45837329 0.16869168 0.59685517 0.01367528 0.38946955
0.402 0.37015343 0.45958557 0.17026100 0.59765069 0.01384482 0.38850449
0.404 0.36737184 0.46079785 0.17183032 0.59844621 0.01401436 0.38753943
0.406 0.36482747 0.46142696 0.17374557 0.59706381 0.01399493 0.38894126
0.408 0.36252034 0.46147291 0.17600675 0.59350351 0.01378653 0.39270996
0.410 0.36021321 0.46151886 0.17826794 0.58994320 0.01357814 0.39647866
0.412 0.35790607 0.46156481 0.18052912 0.58638289 0.01336975 0.40024736
0.414 0.35559894 0.46161076 0.18279030 0.58282259 0.01316135 0.40401606
0.416 0.35347317 0.46170181 0.18482502 0.58016332 0.01315327 0.40668341
0.418 0.35152876 0.46183797 0.18663327 0.57840511 0.01334551 0.40824939
0.420 0.34958434 0.46197413 0.18844153 0.57664689 0.01353774 0.40981537
0.422 0.34763993 0.46211029 0.19024978 0.57488867 0.01372998 0.41138135
0.424 0.34569552 0.46224645 0.19205803 0.57313046 0.01392221 0.41294733
0.426 0.34362420 0.46261951 0.19375629 0.57215389 0.01393979 0.41390632
0.428 0.34142597 0.46322949 0.19534454 0.57195897 0.01378270 0.41425833
0.430 0.33922775 0.46383946 0.19693279 0.57176405 0.01362562 0.41461033
0.432 0.33702952 0.46444943 0.19852105 0.57156913 0.01346853 0.41496234
0.434 0.33483129 0.46505941 0.20010930 0.57137421 0.01331145 0.41531434
0.436 0.33144778 0.46760320 0.20094902 0.56939700 0.01298759 0.41761540
0.438 0.32687898 0.47208081 0.20104021 0.56563752 0.01249697 0.42186552
0.440 0.32231018 0.47655842 0.20113140 0.56187803 0.01200634 0.42611563
